Designator,Footprint,Center-X(mm),Center-Y(mm),Ref-X(mm),Ref-Y(mm),Pad-X(mm),Pad-Y(mm),Layer,Rotation,Comment,Manufacturer part no.

"C1","CAP0805","20.029","36.916","20.029","36.916","20.979","36.916","Top","180","GRM21BR71A105KA01L","GRM21BR71A105KA01L"
"C2","CAP0805","20.019","40.66","20.019","40.66","20.969","40.66","Top","180","GRM21BR71A105KA01L","GRM21BR71A105KA01L"
"C3","CAP0805","35.626","58.083","35.626","58.083","36.576","58.083","Top","180","GRM21BR71A105KA01L","GRM21BR71A105KA01L"
"C4","CAP0805","46.609","58.039","46.609","58.039","45.659","58.039","Top","0","GRM21BR71A105KA01L","GRM21BR71A105KA01L"
"C5","EC-A_PAN","20.841","12.573","19.837","12.573","19.837","12.573","Top","0","ECA-0JM101","ECA-0JM101"
"C6","CAP_RN_10X12P5_NCH","29.424","19.304","26.924","19.304","26.924","19.304","Top","0","UPX1V2R2MPD","UPX1V2R2MPD"
"C7","CAP0805","103.378","42.672","103.378","42.672","104.328","42.672","Top","180","08056D104KAT2A","08056D104KAT2A"
"C8","CAP0805","103.382","51.439","103.382","51.439","102.432","51.439","Top","0","C0805C102K8RAC7800","C0805C102K8RAC7800"
"C9","CAP0805","88.707","53.34","88.707","53.34","87.757","53.34","Top","0","CL21A226KQCLRNC","CL21A226KQCLRNC"
"C10","CAP0805","57.658","66.421","57.658","66.421","58.608","66.421","Top","180","CL21A226KQCLRNC","CL21A226KQCLRNC"
"C11","CAP0805","57.658","68.961","57.658","68.961","58.608","68.961","Top","180","08056D104KAT2A","08056D104KAT2A"
"C12","CAP0805","51.992","63.043","51.992","63.043","52.942","63.043","Top","180","08056D104KAT2A","08056D104KAT2A"
"C13","CAP0805","8.956","45.339","8.956","45.339","9.906","45.339","Top","180","08056D104KAT2A","08056D104KAT2A"
"D1","SOT-323_2P2X1P35X1P3_STM-M","39.499","50.876","39.499","50.876","38.849","49.771","Top","0","BAT30CWFILM","BAT30CWFILM"
"IR1","TSOP382","37.084","3.302","39.624","3.302","39.624","3.302","Top","180","TSOP38238","TSOP38238"
"J1","MOLEX_530480210","8.626","6.096","9.251","6.096","9.251","6.096","Bottom","180","0530480210",""
"J2","CUI_TB003-500-P02BE","124.373","6.35","121.873","6.35","121.873","6.35","Top","0","TB003-500-P02BE","TB003-500-P02BE"
"J3","CUI_TB003-500-P02BE","127.04","65.024","129.54","65.024","129.54","65.024","Top","180","TB003-500-P02BE","TB003-500-P02BE"
"J4","PHOENIX_1984617","35.151","66.929","31.651","62.929","33.401","66.929","Top","0","1984617","1984617"
"J5","PHOENIX_1984617","96.619","68.326","93.119","64.326","94.869","68.326","Top","0","1984617","1984617"
"J6","CONN_PRPC003SAAN-RC_SUL","95.25","53.34","97.79","53.34","97.79","53.34","Top","180","PRPC003SAAN-RC","PRPC003SAAN-RC"
"J7","Amphenol_FCI_0_MFG","102.743","61.214","102.743","61.214","102.743","65.024","Top","270","68000-204HLF","68000-204HLF"
"LED1","WL-TMRC_D3.95H5.3_GREEN","28.909","35.961","28.909","35.961","30.179","35.961","Top","180","151031VS06000","151031VS06000"
"LED2","WL-TMRC_D3.95H5.3_BLUE","29.163","47.137","29.163","47.137","30.433","47.137","Top","180","151034BS03000","151034BS03000"
"LED3","LEDM2214X140N","3.048","21.937","3.048","21.937","3.048","20.887","Top","90","LS M676-Q2S1-1-Z","LS M676-Q2S1-1-Z"
"Q1","TO-92-3L_5P33X5P2_ONS","19.177","22.352","21.777","22.352","21.777","22.352","Top","180","BC557ATA","BC557ATA"
"Q2","TO-92-3L_5P33X5P2_ONS","44.323","43.561","46.923","43.561","46.923","43.561","Top","180","BC548","BC548"
"Q3","SOT23_DMG2301U_DIO","65.913","47.752","65.913","47.752","64.913","48.702","Top","0","DMG2301U-7","DMG2301U-7"
"Q4","SOT23_DMG2301U_DIO","9.922","38.161","9.922","38.161","8.972","37.161","Top","90","DMG2301U-7","DMG2301U-7"
"R1","DC_USS","15.193","3.683","16.543","3.683","16.543","3.683","Bottom","180","DC103G9G","DC103G9G"
"R2","RES0805","24.845","34.056","24.845","34.056","25.895","34.056","Top","180","ERA-6AEB3830V","ERA-6AEB3830V"
"R3","RES0805","25.48","41.803","25.48","41.803","26.53","41.803","Top","180","ERJ-6GEYJ273V","ERJ-6GEYJ273V"
"R4","RES0805","30.433","43.567","30.433","43.567","30.433","44.617","Bottom","270","ERJ-6GEYJ101V","ERJ-6GEYJ101V"
"R5","RES0805","24.426","41.799","24.426","41.799","24.426","40.749","Bottom","90","ERJ-6GEYJ101V","ERJ-6GEYJ101V"
"R6","RES0805","43.688","51.943","43.688","51.943","42.638","51.943","Top","0","ERJ-6GEYJ102V","P1.0KACT-ND"
"R7","RES0805","27.974","12.573","27.974","12.573","26.924","12.573","Top","0","ERA-6AEB561V","ERA-6AEB561V"
"R8","RES0805","16.637","26.636","16.637","26.636","16.637","25.586","Top","90","ERA-6AEB331V","ERA-6AEB331V"
"R9","RES0805","3.048","26.509","3.048","26.509","3.048","25.459","Top","90","ERA-6AEB101V","ERA-6AEB101V"
"R10","RES0805","10.033","30.226","10.033","30.226","11.083","30.226","Bottom","180","ERA-6AEB511V","ERA-6AEB511V"
"R11","RES0805","35.26","49.771","35.26","49.771","36.31","49.771","Top","180","ERA-6AEB561V","ERA-6AEB561V"
"R12","RES0805","98.933","43.561","98.933","43.561","99.983","43.561","Top","180","ERA-6AEB103V","ERA-6AEB103V"
"R13","RES0805","98.933","46.228","98.933","46.228","99.983","46.228","Top","180","ERA-6AEB103V","ERA-6AEB103V"
"R14","RES_SMF5_TYCO_TYC","80.518","27.178","80.518","27.178","80.518","19.431","Bottom","90","SMF533KJT","SMF533KJT"
"R15","RES0805","88.807","56.134","88.807","56.134","87.757","56.134","Top","0","ERJ-6GEYJ273V","ERJ-6GEYJ273V"
"R16","RES0805","52.004","55.495","52.004","55.495","53.054","55.495","Top","180","ERA-6AEB103V","ERA-6AEB103V"
"R17","RES0805","52.008","60.494","52.008","60.494","53.058","60.494","Top","180","ERA-6AEB103V","ERA-6AEB103V"
"R18","RES0805","52.008","58.001","52.008","58.001","53.058","58.001","Top","180","ERA-6AEB103V","ERA-6AEB103V"
"R19","RES0805","96.74","50.292","96.74","50.292","97.79","50.292","Top","180","ERA-6AEB103V","ERA-6AEB103V"
"R20","RES0805","46.606","60.494","46.606","60.494","45.556","60.494","Top","0","ERA-6AEB103V","ERA-6AEB103V"
"R21","RES0805","46.606","63.034","46.606","63.034","47.656","63.034","Top","180","ERA-6AEB103V","ERA-6AEB103V"
"R22","RES0805","88.773","63.627","88.773","63.627","89.823","63.627","Top","180","ERA-6AEB103V","ERA-6AEB103V"
"R23","RES0805","88.773","60.96","88.773","60.96","87.723","60.96","Top","0","ERA-6AEB103V","ERA-6AEB103V"
"R24","RES0805","58.955","48.702","58.955","48.702","60.005","48.702","Top","180","ERA-6AEB103V","ERA-6AEB103V"
"R25","RES0805","52.005","52.968","52.006","52.968","50.955","52.968","Top","0","ERA-6AEB103V","ERA-6AEB103V"
"R26","RES0805","35.272","52.451","35.272","52.451","34.222","52.451","Top","0","ERA-6AEB103V","ERA-6AEB103V"
"RL1","RELAY_SRD-05VDC-SL-C","112.141","26.527","112.141","25.527","118.141","31.627","Top","270","SRD-05VDC-SL-C","SRD-05VDC-SL-C"
"RL2","RELAY_SRD-05VDC-SL-C","129.54","26.527","129.54","25.527","135.54","31.627","Top","270","SRD-05VDC-SL-C","SRD-05VDC-SL-C"
"SW1","SW4_1825910-E_TEC","48.208","67.727","51.458","65.477","44.958","69.977","Top","0","1-1825910-8","1-1825910-8"
"TP1","TEST_POINT","20.961","33.421","20.961","33.421","20.961","33.421","Top","0","TEST point",""
"TP2","TEST_POINT","23.241","3.683","23.241","3.683","23.241","3.683","Top","90","TEST point",""
"TP3","TEST_POINT","97.917","40.894","97.917","40.894","97.917","40.894","Top","90","TEST point",""
"TP4","TEST_POINT","84.963","56.134","84.963","56.134","84.963","56.134","Top","90","TEST point",""
"TP5","TEST_POINT","32.131","9.144","32.131","9.144","32.131","9.144","Top","90","TEST point",""
"TP6","TEST_POINT","3.048","30.226","3.048","30.226","3.048","30.226","Top","180","TEST point",""
"TP7","TEST_POINT","36.31","47.103","36.31","47.103","36.31","47.103","Top","90","TEST point",""
"TP8","TEST_POINT","50.546","49.022","50.546","49.022","50.546","49.022","Top","90","TEST point",""
"TP9","TEST_POINT","31.672","56.183","31.672","56.183","31.672","56.183","Top","90","TEST point",""
"TP10","TEST_POINT","27.94","58.039","27.94","58.039","27.94","58.039","Top","90","TEST point",""
"TP11","TEST_POINT","27.94","61.849","27.94","61.849","27.94","61.849","Top","90","TEST point",""
"TP12","TEST_POINT","58.42","52.451","58.42","52.451","58.42","52.451","Top","90","TEST point",""
"TP13","TEST_POINT","93.98","60.96","93.98","60.96","93.98","60.96","Top","90","TEST point",""
"TP14","TEST_POINT","9.906","41.91","9.906","41.91","9.906","41.91","Top","90","TEST point",""
"U1","CONV_HLK-10M05","70.848","23.339","70.848","23.339","92.098","19.439","Top","180","HLK-10M05","HLK-10M05"
"U2","DSG0008A","24.676","37.866","24.676","37.866","23.926","36.916","Top","90","BQ25170DSGR",""
"U3","SOT-23-5SC-74A_PE-SOT-23-5-180326_NMD-M","41.004","57.133","41.004","57.133","39.499","58.083","Top","0","RP170N331D-TR-FE",""
"U4","DIP794W45P254L1969H508Q16","10.193","23.876","10.193","23.876","6.223","32.766","Top","0","CD4017BE","CD4017BE"
"U5","SOIC127P600X175-8N","106.807","46.863","106.807","46.863","109.282","44.958","Top","180","ACS712ELCTR-20A-T","ACS712ELCTR-20A-T"
"U6","DIP762W50P254L730H410Q6","87.757","46.609","87.757","46.609","85.217","42.799","Top","90","H11AA1","H11AA1"
"U7","ESP32­WROOM­32E_EXP","70.841","61.328","70.841","64.948","62.09","70.208","Top","0","ESP32-WROOM-32E-N4","ESP32-WROOM-32E-N4"
"U8","SIM800L-CORE","14.986","59.957","7.366","49.022","7.366","49.022","Top","90","SIM800L","-"
